property_id,business_type,has_license
501,Office,Y
502,Office,N
503,Warehouse,N
504,Office,N
505,Warehouse,Y
506,Office,Y
507,Restaurant,N
508,Warehouse,N
509,Office,Y
510,Shop,N
511,Office,Y
512,Warehouse,N
513,Office,Y
514,Restaurant,N
515,Office,Y
516,Shop,N
517,Shop,Y
518,Office,Y
519,Warehouse,Y
520,Restaurant,Y
521,Restaurant,Y
522,Office,Y
523,Warehouse,Y
524,Warehouse,Y
525,Shop,N
526,Restaurant,N
527,Warehouse,N
528,Shop,Y
529,Warehouse,Y
530,Restaurant,Y
531,Warehouse,Y
532,Warehouse,N
533,Warehouse,N
534,Warehouse,N
535,Warehouse,Y
536,Office,N
537,Office,N
538,Restaurant,N
539,Warehouse,N
540,Restaurant,N
541,Office,Y
542,Warehouse,Y
543,Office,N
544,Warehouse,N
545,Office,N
546,Warehouse,Y
547,Office,Y
548,Warehouse,Y
549,Warehouse,Y
550,Office,N
551,Shop,N
552,Restaurant,Y
553,Shop,N
554,Office,Y
555,Shop,N
556,Warehouse,N
557,Office,Y
558,Office,N
559,Warehouse,Y
560,Office,N
561,Shop,Y
562,Shop,N
563,Restaurant,Y
564,Shop,N
565,Shop,N
566,Office,Y
567,Restaurant,N
568,Warehouse,Y
569,Office,N
570,Office,Y
571,Restaurant,Y
572,Restaurant,N
573,Warehouse,Y
574,Office,N
575,Office,N
576,Warehouse,Y
577,Restaurant,Y
578,Restaurant,N
579,Restaurant,Y
580,Restaurant,N
581,Warehouse,Y
582,Office,Y
583,Restaurant,Y
584,Warehouse,Y
585,Office,N
586,Office,N
587,Office,N
588,Office,N
589,Shop,Y
590,Shop,N
591,Shop,N
592,Shop,N
593,Warehouse,N
594,Office,Y
595,Office,Y
596,Warehouse,Y
597,Shop,N
598,Office,N
599,Shop,N
600,Shop,Y
601,Office,Y
602,Warehouse,N
603,Warehouse,N
604,Office,Y
605,Restaurant,Y
606,Office,Y
607,Shop,Y
608,Office,Y
609,Office,Y
610,Restaurant,Y
611,Restaurant,N
612,Warehouse,N
613,Office,Y
614,Shop,N
615,Warehouse,N
616,Shop,Y
617,Office,N
618,Restaurant,N
619,Restaurant,Y
620,Shop,N
621,Warehouse,N
622,Office,Y
623,Restaurant,Y
624,Office,Y
625,Shop,Y
626,Warehouse,Y
627,Restaurant,N
628,Warehouse,N
629,Warehouse,Y
630,Warehouse,Y
631,Warehouse,N
632,Warehouse,N
633,Shop,N
634,Warehouse,N
635,Restaurant,Y
636,Warehouse,N
637,Shop,N
638,Shop,Y
639,Warehouse,Y
640,Restaurant,Y
641,Office,Y
642,Office,Y
643,Office,Y
644,Shop,N
645,Restaurant,N
646,Office,N
647,Restaurant,Y
648,Warehouse,Y
649,Restaurant,N
650,Warehouse,Y
651,Shop,N
652,Restaurant,Y
653,Office,Y
654,Warehouse,N
655,Office,Y
656,Shop,N
657,Restaurant,N
658,Restaurant,Y
659,Warehouse,N
660,Office,N
661,Shop,Y
662,Warehouse,N
663,Shop,N
664,Shop,N
665,Restaurant,N
666,Restaurant,N
667,Office,Y
668,Shop,N
669,Restaurant,N
670,Warehouse,Y
671,Warehouse,Y
672,Shop,N
673,Warehouse,Y
674,Restaurant,N
675,Warehouse,N
676,Shop,Y
677,Shop,Y
678,Shop,Y
679,Restaurant,Y
680,Warehouse,Y
