property_id,bedrooms,has_balcony
1,5,N
2,3,Y
3,6,Y
4,6,Y
5,6,Y
6,6,Y
7,5,N
8,3,Y
9,5,Y
10,3,Y
11,6,N
12,2,Y
13,2,Y
14,2,Y
15,5,Y
16,3,N
17,3,Y
18,2,N
19,3,N
20,2,N
21,4,Y
22,5,Y
23,6,Y
24,2,Y
25,5,Y
26,4,N
27,4,N
28,2,N
29,2,N
30,3,N
31,4,Y
32,2,N
33,2,N
34,3,N
35,2,Y
36,6,N
37,2,Y
38,5,N
39,4,Y
40,3,N
41,2,Y
42,2,N
43,4,Y
44,4,Y
45,6,Y
46,5,N
47,3,Y
48,3,Y
49,3,Y
50,5,N
51,5,Y
52,3,N
53,5,N
54,3,Y
55,3,N
56,2,Y
57,4,N
58,4,Y
59,4,N
60,2,Y
61,6,N
62,5,N
63,2,N
64,3,Y
65,3,Y
66,4,N
67,6,Y
68,4,N
69,4,N
70,4,N
71,2,Y
72,3,N
73,2,N
74,5,Y
75,6,Y
76,5,N
77,5,N
78,3,N
79,6,N
80,2,N
81,4,N
82,6,Y
83,3,N
84,6,N
85,4,Y
86,5,Y
87,2,N
88,4,Y
89,6,N
90,2,Y
91,4,N
92,6,Y
93,2,N
94,6,Y
95,6,N
96,2,N
97,6,Y
98,3,Y
99,2,Y
100,6,N
101,5,Y
102,6,Y
103,2,Y
104,4,Y
105,6,Y
106,3,N
107,5,N
108,3,N
109,4,Y
110,2,N
111,5,N
112,3,N
113,2,Y
114,4,Y
115,2,Y
116,5,N
117,6,N
118,2,N
119,2,Y
120,6,Y
121,4,Y
122,4,N
123,3,N
124,2,Y
125,6,N
126,2,N
127,6,Y
128,6,N
129,6,Y
130,4,Y
131,3,Y
132,3,N
133,6,N
134,6,N
135,6,Y
136,6,N
137,6,Y
138,5,Y
139,5,Y
140,5,Y
141,5,Y
142,6,Y
143,2,Y
144,5,Y
145,5,Y
146,2,N
147,4,N
148,4,N
149,6,Y
150,5,N
151,4,N
152,3,Y
153,5,Y
154,5,N
155,6,Y
156,2,Y
157,3,N
158,5,Y
159,5,Y
160,4,Y
161,4,N
162,4,N
163,3,Y
164,2,Y
165,5,N
166,3,N
167,5,Y
168,5,Y
169,3,Y
170,5,N
171,6,Y
172,5,Y
173,6,Y
174,3,N
175,4,Y
176,4,Y
177,3,Y
178,4,N
179,4,N
180,5,N
181,4,Y
182,2,N
183,4,N
184,6,N
185,6,N
186,2,Y
187,4,N
188,5,N
189,5,N
190,5,N
191,5,N
192,6,Y
193,6,N
194,5,N
195,6,N
196,5,N
197,2,Y
198,2,N
199,2,Y
200,2,N
201,4,Y
202,5,Y
203,4,N
204,4,Y
205,4,N
206,2,Y
207,5,Y
208,3,Y
209,2,Y
210,3,N
211,5,Y
212,3,Y
213,3,Y
214,4,N
215,6,Y
216,3,N
217,2,Y
218,6,N
219,6,N
220,3,N
221,3,Y
222,3,N
223,6,Y
224,3,N
225,5,Y
226,3,N
227,3,N
228,6,N
229,2,Y
230,6,N
231,2,N
232,2,Y
233,2,N
234,3,Y
235,3,Y
236,3,N
237,5,N
238,5,Y
239,6,N
240,6,Y
241,3,Y
242,3,N
243,4,Y
244,5,N
245,6,Y
246,4,Y
247,2,N
248,2,Y
249,5,N
250,5,N
251,5,N
252,6,N
253,2,Y
254,4,N
255,2,N
256,5,N
257,4,N
258,2,Y
259,3,N
260,3,N
261,5,Y
262,5,N
263,3,Y
264,2,N
265,3,Y
266,5,N
267,3,N
268,5,N
269,4,N
270,6,Y
271,3,N
272,3,Y
273,4,N
274,5,Y
275,5,Y
276,5,Y
277,6,N
278,4,N
279,6,Y
280,6,N
281,2,N
282,4,Y
283,6,Y
284,3,N
285,3,Y
286,3,Y
287,3,N
288,4,N
289,5,N
290,5,N
291,4,Y
292,5,Y
293,5,Y
294,6,N
295,4,Y
296,3,Y
297,2,Y
298,2,Y
299,3,N
300,2,N
301,3,N
302,4,N
303,6,Y
304,6,N
305,6,Y
306,5,Y
307,3,N
308,6,N
309,3,N
310,5,Y
311,4,Y
312,3,Y
313,4,N
314,4,N
315,4,N
316,5,Y
317,5,N
318,3,Y
319,4,N
320,5,Y
321,3,Y
322,3,Y
323,6,Y
324,6,N
325,6,N
326,2,N
327,5,N
328,2,N
329,5,N
330,6,N
331,3,Y
332,3,Y
333,4,Y
334,4,N
335,2,N
336,4,N
337,2,Y
338,2,N
339,4,Y
340,5,N
341,5,Y
342,3,Y
343,5,Y
344,3,N
345,5,N
346,6,Y
347,2,N
348,4,N
349,2,N
350,4,N
351,4,N
352,2,Y
353,5,N
354,3,N
355,6,N
356,4,N
357,2,Y
358,6,N
359,2,N
360,4,N
361,3,N
362,2,Y
363,4,Y
364,6,N
365,6,Y
366,3,N
367,5,N
368,4,Y
369,5,N
370,3,Y
371,5,N
372,4,N
373,6,Y
374,5,Y
375,5,N
376,5,Y
377,6,N
378,2,N
379,5,N
380,5,N
381,3,N
382,4,N
383,5,N
384,5,Y
385,6,N
386,4,N
387,6,N
388,6,Y
389,3,N
390,6,N
391,4,Y
392,2,Y
393,4,N
394,6,N
395,2,Y
396,4,Y
397,3,N
398,5,N
399,4,N
400,2,Y
401,3,Y
402,4,N
403,3,N
404,5,N
405,2,N
406,2,Y
407,6,N
408,3,Y
409,3,N
410,2,Y
411,5,Y
412,5,N
413,2,Y
414,6,Y
415,4,Y
416,3,Y
417,4,Y
418,6,N
419,6,Y
420,5,N
421,3,N
422,5,Y
423,5,Y
424,4,Y
425,3,N
426,6,Y
427,4,N
428,4,Y
429,4,N
430,3,N
431,6,N
432,5,N
433,4,N
434,2,N
435,5,Y
436,5,Y
437,6,Y
438,2,Y
439,4,Y
440,4,Y
441,5,N
442,2,N
443,6,Y
444,4,N
445,4,Y
446,6,Y
447,5,N
448,3,Y
449,3,Y
450,5,N
451,2,N
452,3,Y
453,3,Y
454,2,Y
455,2,N
456,3,Y
457,2,Y
458,5,Y
459,4,Y
460,6,N
461,6,Y
462,2,Y
463,5,Y
464,2,Y
465,2,N
466,2,N
467,5,N
468,6,N
469,4,Y
470,6,N
471,2,Y
472,2,N
473,2,N
474,3,Y
475,4,N
476,5,N
477,2,N
478,4,Y
479,5,Y
480,3,Y
481,4,N
482,3,N
483,2,Y
484,2,N
485,4,Y
486,2,Y
487,5,Y
488,6,N
489,2,N
490,6,Y
491,3,Y
492,4,N
493,5,N
494,3,N
495,2,N
496,6,N
497,4,N
498,4,Y
499,2,Y
500,3,N
